"...1","Identificador","ual_prov","ual_estr","ual_segm","al_ncues","fp_numt","fp_numl","rc_clacul","fp_k704","fp_k705","fp_k706ha","fp_k707ha","fp_k708","fp_k709","fp_k710","fp_k711","fp_k712","fp_venmernac","fp_venmerint","fp_prepasuelo","fp_poda","fp_tutoreo","fp_despunte","fp_riego","fp_superf_regada_ha","fp_porc_surc","fp_porc_aspe","fp_porc_micr","fp_porc_gote","fp_porc_nebu","fp_porc_otro","fp_obsmetrie","fp_aferti","fp_forg","fp_cant1_fo","fp_umed1_fo","fp_cant2_fo","fp_umed2_fo","fp_cant3_fo","fp_umed3_fo","fp_fqui","fp_cantidad_npk_fq","fp_umed_npk_fq","fp_cantidad_nit_fq","fp_umed_nit_fq","fp_cantidad_fq","fp_umed_fq","fp_cantidad_pot_fq","fp_umed_pot_fq","fp_afito","fp_porg","fp_cantidad_po","fp_umedida_po","fp_pqui","fp_cantidad_her_pq","fp_umed_her_pq","fp_color_her_pq","fp_cantidad_ins_pq","fp_umed_ins_pq","fp_color_ins_pq","fp_cantidad_fun_pq","fp_umed_fun_pq","fp_color_fun_pq","fp_cantidad_pq","fp_umed_pq","fp_color_pq","fp_trabocacont","fp_trabfami","fp_clacu","fp_full_tabaco","fp_tabaco","fp_Bonche","fp_Bouquet","fp_tn","fact_exp_fin"
1,"04025003003410022","04","03","00341","0022",3,1,716,1,2,0.8,0.8,6500,19500,1,60,300,25,75,1,1,1,1,1,0.8,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,30,3,NA,NA,1,NA,NA,10,3,10,3,10,3,1,2,NA,NA,1,40,5,4,45,5,4,140,5,4,60,5,4,NA,NA,716,60,NA,NA,NA,1,52.7379227963236
2,"04025063000993697","04","63","00099","3697",1,1,716,1,12,1.75,1.75,120000,1478000,3,50000,25,NA,100,1,1,1,1,1,1.75,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,57.6,3,5702.4,1,1,NA,NA,5184,2,NA,NA,3456,2,1,1,276,5,1,NA,NA,NA,84,5,4,240,5,3,136.8,5,3,NA,NA,716,NA,NA,50000,NA,1,1
3,"04035063000993814","04","63","00099","3814",1,1,716,1,9,11,11,825000,8400000,2,28000,300,NA,100,1,1,1,1,1,11,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,NA,NA,10000,1,1,NA,NA,24000,2,20000,2,37500,2,1,1,60,5,1,NA,NA,NA,40,5,4,200,2,4,80,5,2,NA,NA,716,NA,28000,NA,NA,1,1
4,"04035363000993849","04","63","00099","3849",1,1,716,1,14,4,4,283000,1945582,2,5675,300,8,92,1,1,1,1,1,4,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,8,4,NA,NA,1,NA,NA,25000,2,1050,2,4375,2,1,2,NA,NA,1,34,5,4,96,5,4,400,5,4,421,5,4,NA,NA,716,NA,5675,NA,NA,1,1
5,"04045001062760003","04","01","06276","0003",1,1,716,1,8,5.5,5.5,440000,4488000,1,10996,400,5,95,1,1,1,1,1,5.5,NA,NA,NA,100,NA,NA,NA,1,1,605,3,NA,NA,26400,1,1,14000,2,NA,NA,NA,NA,NA,NA,1,1,286,5,1,NA,NA,NA,39.5,5,3,158,5,2,46.2,5,2,NA,NA,716,10996,NA,NA,NA,1,11.3909795055463
6,"05015063000993646","05","63","00099","3646",3,1,716,1,4,0.2,0.2,20000,80000,3,3168,25,40,60,1,1,1,1,1,0.2,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,NA,NA,90,1,1,7,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,7,5,3,7,5,3,NA,NA,NA,0,0,716,NA,NA,3168,NA,1,1
7,"05015063000993778","05","63","00099","3778",1,1,716,1,22,14.5,14.5,2e+06,3e+07,3,1104000,25,0,100,1,1,1,1,1,14.5,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,70000,2,10000,1,1,NA,NA,35000,2,18000,2,49000,2,1,2,NA,NA,1,NA,NA,NA,1000,5,3,1100,5,3,1000,5,3,20,0,716,NA,NA,1104000,NA,1,1
8,"05015101098560007","05","01","09856","0007",1,1,716,1,4,0.7,0.7,120000,1344000,3,53760,25,NA,100,1,1,1,1,1,0.7,NA,NA,NA,100,NA,NA,NA,1,1,160,2,80,2,NA,NA,1,NA,NA,48,3,4.8,3,NA,NA,1,2,NA,NA,1,NA,NA,NA,21.6,5,2,12,5,2,NA,NA,NA,NA,NA,716,NA,NA,53760,NA,1,75.3316449528436
9,"05015101098560007","05","01","09856","0007",2,2,716,1,2,0.5,0.5,110000,1209600,3,48384,25,NA,100,1,1,1,1,1,0.5,NA,NA,NA,100,NA,NA,NA,1,1,160,2,30,2,NA,NA,1,NA,NA,48,3,43.8,3,NA,NA,1,2,NA,NA,1,NA,NA,NA,20,5,3,12,5,3,NA,NA,NA,NA,NA,716,NA,NA,48384,NA,1,44.571938478401
10,"05015163000993612","05","63","00099","3612",2,1,716,1,10,12,12,1020000,4e+06,1,11973,300,NA,100,1,1,1,1,1,12,NA,NA,NA,100,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,12600,2,12600,2,12600,2,1,2,NA,NA,1,NA,NA,NA,190,5,2,190,5,2,190,5,2,0,0,716,11973,NA,NA,NA,1,1
11,"05015163000993647","05","63","00099","3647",2,1,716,1,10,0.4,0.4,30000,240000,3,8640,25,10,90,1,1,1,1,1,0.4,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,10,2,NA,NA,1,NA,NA,50,2,50,2,50,2,1,2,NA,NA,1,NA,NA,NA,25,5,2,30,5,3,NA,NA,NA,0,0,716,NA,NA,8640,NA,1,1
12,"05015163000993651","05","63","00099","3651",2,1,716,1,10,10,10,850000,3400000,1,10200,300,NA,100,1,1,1,1,1,10,NA,NA,NA,100,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,10500,2,10500,5,10500,2,1,2,NA,NA,1,NA,NA,NA,160,5,2,160,5,2,160,5,3,0,0,716,10200,NA,NA,NA,1,1
13,"05015163000993656","05","63","00099","3656",1,1,716,1,7,13,13,6e+05,8400000,1,19950,400,NA,100,1,1,1,1,1,13,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,4000,2,12,1,1,NA,NA,13000,2,12217,2,360,2,1,2,NA,NA,1,NA,NA,NA,157,2,2,300,2,2,150,2,4,0,0,716,19950,NA,NA,NA,1,1
14,"05015163000993657","05","63","00099","3657",2,1,716,1,5,1.6,1.6,2e+05,1320000,3,47520,25,10,90,1,1,1,1,1,1.6,NA,NA,NA,100,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,6800,2,6800,2,6800,2,1,2,NA,NA,1,NA,NA,NA,120,1,4,120,1,4,120,1,3,0,0,716,NA,NA,47520,NA,1,1
15,"05015163000993686","05","63","00099","3686",2,1,716,1,4,1.2,1.2,120000,480000,3,17280,25,10,90,1,1,1,1,1,1.2,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,NA,NA,192,1,1,NA,NA,2160,2,2160,2,2160,2,1,2,NA,NA,1,NA,NA,NA,50,5,2,96,5,3,72,5,3,5,3,716,NA,NA,17280,NA,1,1
16,"05015163000993776","05","63","00099","3776",2,1,716,1,10,6.5,6.5,547368,2189472,1,6568,300,NA,100,1,1,1,1,1,6.5,NA,NA,NA,100,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,7000,2,7000,2,7000,2,1,2,NA,NA,1,NA,NA,NA,102,5,2,102,5,2,102,5,3,0,0,716,6568,NA,NA,NA,1,1
17,"05015163000993847","05","63","00099","3847",2,1,716,1,3,3,3,240000,960000,3,37632,25,10,90,1,1,1,1,1,3,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,NA,NA,780,1,1,NA,NA,500,2,500,2,500,2,1,2,NA,NA,1,7,5,4,105,5,2,510,5,3,200,5,3,0,0,716,NA,NA,37632,NA,1,1
18,"05015163000993848","05","63","00099","3848",2,1,716,1,11,1,1,80000,320000,3,11520,25,10,90,1,1,1,1,1,1,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,20,2,NA,NA,1,NA,NA,100,2,100,2,100,2,1,2,NA,NA,1,NA,NA,NA,50,5,2,50,5,3,NA,NA,NA,0,0,716,NA,NA,11520,NA,1,1
19,"05015163000993962","05","63","00099","3962",2,1,716,1,13,2.1,2.1,160000,288000,1,864,300,20,80,1,1,1,1,1,2.1,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,NA,NA,1200,1,1,NA,NA,48,3,48,3,48,3,1,2,NA,NA,1,5,5,4,100,5,2,200,5,3,100,5,4,0,0,716,864,NA,NA,NA,1,1
20,"05015163000993964","05","63","00099","3964",2,1,716,1,6,1.6,1.6,180000,720000,3,25920,25,2,98,1,1,1,1,1,1.6,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,NA,NA,7632,1,1,NA,NA,2000,2,2000,2,2000,2,1,2,NA,NA,1,NA,NA,NA,96,5,2,96,5,3,NA,NA,NA,0,0,716,NA,NA,25920,NA,1,1
21,"05015163000993965","05","63","00099","3965",2,1,716,1,4,9.5,9.5,8e+05,5500000,2,33000,150,10,90,1,1,1,2,1,9.5,NA,NA,NA,100,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,10000,2,10000,2,10000,2,1,2,NA,NA,1,NA,NA,NA,150,5,2,150,5,2,150,5,3,0,0,716,NA,33000,NA,NA,1,1
22,"05015201170080004","05","01","17008","0004",1,1,716,1,6,0.1,0.1,8000,85000,3,3298,25,100,NA,1,1,1,1,1,0.1,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,NA,NA,120,1,1,200,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,3,5,3,3,5,3,2,5,2,4,0,716,NA,NA,3298,NA,1,72.8884516598719
23,"05015201170080007","05","01","17008","0007",1,1,716,1,4,0.3,0.25,26000,144000,3,5472,25,10,90,1,1,1,1,1,0.25,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,NA,NA,120,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,12,5,2,12,5,3,3,5,3,0,0,716,NA,NA,5472,NA,1,31.1855400137905
24,"05015363000993682","05","63","00099","3682",1,1,716,1,27,14,14,7e+05,6900336,1,12973,500,10,90,1,1,1,1,1,14,NA,NA,NA,100,NA,NA,NA,1,1,22,3,NA,NA,1812,1,1,6432,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,708,5,3,1620,5,4,1380,5,3,NA,NA,716,12973,NA,NA,NA,1,1
25,"05015363000993783","05","63","00099","3783",1,1,716,1,15,10,10,918373,8750000,1,17111,450,NA,100,1,1,1,1,1,10,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,1350,2,NA,NA,1,NA,NA,60000,2,2880,2,23000,2,1,1,50,5,1,5,5,2,120,5,4,200,5,3,100,5,2,NA,NA,716,17111,NA,NA,NA,1,1
26,"05015461000992902","05","61","00099","2902",1,1,716,1,10,10.3,10.3,794000,8400000,1,19320,400,NA,100,1,1,1,1,1,10.3,NA,NA,40,60,NA,NA,NA,1,1,9500,2,40000,2,10400,1,1,NA,NA,1200,2,300,2,3500,2,1,1,200,5,1,NA,NA,NA,13,2,2,420,2,4,45,5,4,NA,NA,716,19320,NA,NA,NA,1,1
27,"05015463000993685","05","63","00099","3685",1,1,716,1,10,0.49,0.49,20000,250000,3,8167,30,15,85,1,1,1,1,1,0.49,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,NA,NA,40,1,1,100,3,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,20,5,3,50,2,3,15,5,2,NA,NA,716,NA,NA,8167,NA,1,1
28,"05015463000993784","05","63","00099","3784",1,1,716,1,15,9,9,5e+06,5e+06,2,19600,250,5,95,1,1,1,1,1,9,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,18,3,NA,NA,1,NA,NA,3000,2,1800,2,1800,2,1,1,108,5,1,NA,NA,NA,144,5,2,600,5,3,36,5,2,NA,NA,716,NA,19600,NA,NA,1,1
29,"05015463000993846","05","63","00099","3846",1,1,716,1,12,9.1,7.9,733102,5360000,2,20368,250,5,95,1,1,1,1,1,9.1,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,282.1,2,NA,NA,1,NA,NA,338.37,3,67.7,3,101.56,3,1,1,22.57,3,1,NA,NA,NA,1537.9,5,3,1025.52,5,2,NA,NA,NA,0,0,716,NA,20368,NA,NA,1,1
30,"05015463000993846","05","63","00099","3846",2,2,716,1,12,1.4,1.4,128200,1265000,2,10278,120,3,97,1,1,1,1,1,1.4,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,43.4,2,NA,NA,1,NA,NA,52.06,3,10.42,3,15.62,3,1,1,3.47,3,1,NA,NA,NA,236.6,5,3,157.46,5,2,NA,NA,NA,NA,NA,716,NA,10278,NA,NA,1,1
31,"05015463000993959","05","63","00099","3959",1,1,716,1,12,3,3,3e+06,2880000,1,7406,350,NA,100,1,1,1,1,1,3,NA,NA,5,48,NA,47,"DUCHA",1,1,NA,NA,300,3,10000,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,70,5,1,40,5,3,50,5,2,50,5,3,25,5,2,NA,NA,716,7406,NA,NA,NA,1,1
32,"05015463000993963","05","63","00099","3963",1,1,716,1,7,0.4,0.4,25000,1e+05,3,3267,30,15,85,1,1,1,1,1,0.4,NA,NA,NA,100,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,480,2,50,2,500,2,1,2,NA,NA,1,NA,NA,NA,3,5,4,7,5,4,10,5,2,NA,NA,716,NA,NA,3267,NA,1,1
33,"05015463000993966","05","63","00099","3966",1,1,716,1,7,14.5,14.5,1305000,1957500,2,8319,200,NA,100,1,1,1,1,1,14.5,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,18750,2,25200,1,1,NA,NA,2500,2,9000,2,500,2,1,1,1000,1,1,500,2,4,500,2,3,500,2,2,20,3,3,NA,NA,716,NA,8319,NA,NA,1,1
34,"05015463000993967","05","63","00099","3967",1,1,716,1,8,12.5,12.5,882000,10700000,2,45475,200,NA,100,1,1,1,1,1,12.5,NA,NA,NA,100,NA,NA,NA,1,1,3000,2,10000,2,600,1,1,NA,NA,12300,2,3000,2,15450,2,1,2,NA,NA,1,NA,NA,NA,600,5,2,1200,5,3,1200,5,2,NA,NA,716,NA,45475,NA,NA,1,1
35,"05015604000450005","05","04","00045","0005",1,1,716,1,10,0.5,0.5,25000,120000,3,4800,25,100,NA,1,1,1,1,1,0.5,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,NA,NA,240,1,1,NA,NA,50,2,50,2,50,2,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1,3,0,0,716,NA,NA,4800,NA,1,27.4714584727014
36,"05015604000450017","05","04","00045","0017",2,1,716,1,5,0.04,0.04,4000,14400,3,576,25,100,NA,1,1,1,1,1,0.04,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,NA,NA,12,1,1,12,3,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,0.5,5,2,1,5,2,NA,NA,NA,0,0,716,NA,NA,576,NA,1,15.6180026760096
37,"05015604000450018","05","04","00045","0018",1,1,716,1,8,0.08,0.08,5000,24000,3,960,25,50,50,1,1,1,1,1,0.08,NA,NA,NA,100,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,600,2,NA,NA,600,2,1,2,NA,NA,1,NA,NA,NA,2,5,2,15,1,2,NA,NA,NA,0,0,716,NA,NA,960,NA,1,33.8392604873015
38,"05015604000450043","05","04","00045","0043",2,1,716,1,8,0.1,0.1,7000,23300,3,767,30,100,NA,1,1,1,1,1,0.1,NA,NA,NA,100,NA,NA,NA,1,1,10,3,NA,NA,NA,NA,1,NA,NA,NA,NA,4,3,2,3,1,2,NA,NA,1,NA,NA,NA,2,5,2,6,1,2,NA,NA,NA,0,0,716,NA,NA,767,NA,1,32.5324336891372
39,"05015663000993596","05","63","00099","3596",1,1,716,1,22,9.5,9.5,8e+06,7700000,1,11550,600,NA,100,1,1,1,1,1,9.5,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,18000,2,NA,NA,1,NA,NA,1400,2,10000,2,3000,2,1,2,NA,NA,1,NA,NA,NA,200,5,2,800,2,2,500,5,2,NA,NA,716,11550,NA,NA,NA,1,1
40,"05015663000993597","05","63","00099","3597",1,1,716,1,17,10,10,690748,9e+06,2,41400,200,NA,100,1,1,1,1,1,10,NA,NA,NA,100,NA,NA,NA,1,1,0.5,4,0.5,4,NA,NA,1,205,3,205,3,205,3,205,3,1,1,1558,5,1,NA,NA,NA,311,2,2,311,2,3,311,2,3,NA,NA,716,NA,41400,NA,NA,1,1
41,"05015663000993626","05","63","00099","3626",1,1,716,1,12,1.1,1.1,105000,960000,2,2720,300,30,70,2,1,1,1,1,1.1,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,2,4,240,1,1,NA,NA,600,2,100,2,360,2,1,2,NA,NA,1,NA,NA,NA,24,5,4,10,5,4,72,5,4,NA,NA,716,NA,2720,NA,NA,1,1
42,"05015663000993634","05","63","00099","3634",1,1,716,1,22,8.05,8.05,554155,7245000,2,33327,200,NA,100,1,1,1,1,1,8.05,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,1,4,NA,NA,1,152,3,152,3,152,3,152,3,1,1,1254,5,1,NA,NA,NA,571,2,3,582,2,2,560,2,4,NA,NA,716,NA,33327,NA,NA,1,1
43,"05015663000993638","05","63","00099","3638",1,1,716,1,9,17,17,1310273,1.4e+07,1,21000,600,13,87,2,1,1,1,1,17,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,1500,3,NA,NA,1,15,4,20,4,4,4,20,4,1,1,400,5,1,NA,NA,NA,900,5,4,2000,5,4,1000,5,4,NA,NA,716,21000,NA,NA,NA,1,1
44,"05015663000993639","05","63","00099","3639",1,1,716,1,27,15.06,15.06,1303874,13104000,1,25626,450,NA,100,1,1,1,1,1,15.06,NA,NA,NA,100,NA,NA,NA,1,1,7,4,50,4,NA,NA,1,NA,NA,135,4,2,4,11,4,1,1,200,5,1,30,5,2,115,5,3,208,5,5,38,5,2,NA,NA,716,25626,NA,NA,NA,1,1
45,"05015663000993644","05","63","00099","3644",1,1,716,1,20,34,34,3e+06,1.6e+07,2,101333,150,6,94,1,1,1,1,1,34,NA,NA,NA,100,NA,NA,NA,1,1,1500,3,NA,NA,7000,1,1,NA,NA,3748,3,269,3,1504,3,1,1,96,2,1,NA,NA,NA,372,5,2,480,5,4,60,5,3,NA,NA,716,NA,101333,NA,NA,1,1
46,"05015663000993648","05","63","00099","3648",1,1,716,1,10,5,5,380000,4800000,3,117600,40,10,90,1,1,1,1,1,5,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,10,4,3000,1,1,NA,NA,792,3,158,3,158.4,2,1,1,100,5,1,NA,NA,NA,96,5,2,240,5,3,240,5,3,NA,NA,716,NA,NA,117600,NA,1,1
47,"05015663000993678","05","63","00099","3678",1,1,716,1,30,54.49,54.49,4420790,29393239,1,144026,200,20,80,1,1,1,1,1,54.49,NA,NA,NA,100,NA,NA,NA,1,1,20072,2,20,2,NA,NA,1,21,4,4944.65,2,4100,2,61.1,2,1,1,2764,5,1,NA,NA,NA,962,5,3,8568,5,3,3500,5,3,NA,NA,716,144026,NA,NA,NA,1,1
48,"05015663000993679","05","63","00099","3679",1,1,716,1,17,10.5,10.5,9e+05,6e+06,3,220800,25,2,98,1,1,1,1,1,10.5,NA,NA,NA,100,NA,NA,NA,1,1,1000,3,2500,2,NA,NA,1,NA,NA,48,4,3,4,25,4,1,1,200,5,1,NA,NA,NA,240,5,4,300,5,4,300,5,4,NA,NA,716,NA,NA,220800,NA,1,1
49,"05015663000993688","05","63","00099","3688",1,1,716,1,12,7.5,7.5,6e+05,4e+06,2,36000,100,NA,100,2,1,1,1,1,7.5,NA,NA,NA,100,NA,NA,NA,1,1,590,3,NA,NA,500,1,1,NA,NA,79,3,2000,2,2500,2,1,2,NA,NA,1,NA,NA,NA,190,5,3,190,5,3,36,5,3,0,0,716,NA,36000,NA,NA,1,1
50,"05015663000993689","05","63","00099","3689",1,1,716,1,20,5.98,5.98,478082,6e+06,3,240000,25,8,92,1,1,1,1,1,5.98,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,500,3,NA,NA,1,NA,NA,292,3,279,2,7000,2,1,2,NA,NA,1,NA,NA,NA,300,5,3,1000,5,2,200,5,3,NA,NA,716,NA,NA,240000,NA,1,1
51,"05015663000993714","05","63","00099","3714",1,1,716,1,20,9.14,9.14,6e+05,7920000,2,36828,200,NA,100,1,1,1,1,1,9.14,NA,NA,NA,100,NA,NA,NA,1,1,0.5,4,0.5,4,NA,NA,1,NA,NA,74520,2,850,2,NA,NA,1,1,150,5,1,NA,NA,NA,1560,5,3,1000,2,3,1000,2,2,NA,NA,716,NA,36828,NA,NA,1,1
52,"05015663000993844","05","63","00099","3844",1,1,716,1,26,12.33,12.33,970197,8655800,2,43279,200,15,85,1,1,1,2,1,12.33,NA,NA,NA,100,NA,NA,NA,1,1,1233,3,NA,NA,NA,NA,1,5000,3,NA,NA,NA,NA,NA,NA,1,1,100,5,1,NA,NA,NA,240,5,2,960,5,3,240,5,4,NA,NA,716,NA,43279,NA,NA,1,1
53,"05015663000993845","05","63","00099","3845",2,1,716,1,4,9,9,740011,4302646,2,12907,300,20,80,1,1,1,1,1,5,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,NA,NA,2000,1,1,NA,NA,1500,2,1500,2,1500,2,1,1,20,5,1,NA,NA,NA,500,5,3,500,5,2,NA,NA,NA,NA,NA,716,NA,12907,NA,NA,1,1
54,"05015901027070001","05","01","02707","0001",1,1,716,1,6,1,0.3,80000,3e+05,3,12000,25,100,NA,1,1,2,2,1,1,NA,NA,NA,100,NA,NA,NA,1,1,2000,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,3,5,5,NA,NA,NA,NA,NA,NA,3,0,716,NA,NA,12000,NA,1,39.10724879166
55,"05015901035500018","05","01","03550","0018",4,1,716,1,2,0.23,0.23,900,1200,4,46,25,100,NA,1,1,1,1,1,0.18,NA,100,NA,NA,NA,NA,NA,1,1,40,2,NA,NA,NA,NA,1,20,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,3,5,4,2,5,4,10,5,4,NA,NA,NA,0,0,716,NA,NA,NA,46,1,73.1237938468653
56,"05015901055890001","05","01","05589","0001",1,1,716,1,8,24.75,24.75,203800,1700000,1,4200,300,14,86,1,1,1,1,1,24.75,NA,NA,100,NA,NA,NA,NA,1,1,40,4,NA,NA,2000,1,1,400,2,6800,2,3100.8,2,3800,2,1,2,NA,NA,1,NA,NA,NA,138,2,4,1750,2,4,432,2,4,0,0,716,4200,NA,NA,NA,1,10.8622321643781
57,"05015901056540002","05","01","05654","0002",2,1,716,1,2,10,10,8e+05,8e+06,2,25866,300,10,90,1,1,1,1,1,10,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,250,2,NA,NA,1,NA,NA,32000,2,7500,2,11500,2,1,2,NA,NA,1,NA,NA,NA,25,5,2,550,2,3,550,5,3,0,0,716,NA,25866,NA,NA,1,3.39134190363256
58,"05015963000993600","05","63","00099","3600",1,1,716,1,12,9.5,9.5,778932,8360000,3,313433,25,10,90,1,1,1,1,1,9.5,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,38,4,NA,NA,1,NA,NA,81,4,8,4,19,4,1,1,820,5,1,16,5,4,180,5,3,340,5,2,18,5,2,NA,NA,716,NA,NA,313433,NA,1,1
59,"05015963000993601","05","63","00099","3601",2,1,716,1,8,12,12,792000,6e+06,3,204000,25,15,85,1,1,1,1,1,12,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,NA,NA,1200,1,1,NA,NA,80000,2,80000,2,80000,2,1,1,250,2,1,NA,NA,NA,36,5,3,216,5,4,NA,NA,NA,NA,NA,716,NA,NA,204000,NA,1,1
60,"05015963000993602","05","63","00099","3602",2,1,716,1,14,14.2,14.2,937000,7e+06,3,238000,25,15,85,1,1,1,1,1,14.2,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,NA,NA,1500,1,1,NA,NA,90000,2,90000,2,90000,2,1,1,350,2,1,NA,NA,NA,40,5,3,230,5,4,NA,NA,NA,NA,NA,716,NA,NA,238000,NA,1,1
61,"05015963000993624","05","63","00099","3624",2,1,716,1,15,10,10,880000,7800000,1,24009,320,1,99,1,1,1,1,1,10,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,10000,2,NA,NA,1,NA,NA,11,2,10,2,10,2,1,1,300,2,1,NA,NA,NA,10,3,4,110,5,3,NA,NA,NA,NA,NA,716,24009,NA,NA,NA,1,1
62,"05015963000993625","05","63","00099","3625",2,1,716,1,31,12.55,12.55,1e+06,8700000,1,14790,500,NA,100,1,1,1,1,1,12.55,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,250,2,NA,NA,1,NA,NA,1631,2,1631,2,1631,2,1,1,200,5,1,7,5,4,326,5,2,1968,5,2,NA,NA,NA,NA,NA,716,14790,NA,NA,NA,1,1
63,"05015963000993643","05","63","00099","3643",2,1,716,1,1,1.8,1.8,136129,106413,3,4171,25,2,98,1,1,1,1,1,1.8,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,NA,NA,10,1,1,NA,NA,12363,2,2853,2,3804,2,1,2,NA,NA,1,NA,NA,NA,6,5,2,36,5,2,NA,NA,NA,NA,NA,716,NA,NA,4171,NA,1,1
64,"05015963000993715","05","63","00099","3715",2,1,716,1,10,8.22,8.22,596532,6363131,3,220469,25,12,88,1,1,1,1,1,8.22,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,NA,NA,2160,1,1,108,2,108,2,108,2,108,2,1,1,10,5,1,NA,NA,NA,172,5,2,172,5,3,NA,NA,NA,NA,NA,716,NA,NA,220469,NA,1,1
65,"05015963000993716","05","63","00099","3716",2,1,716,1,20,17.6,17.6,1200000,1.4e+07,3,551600,25,1,99,1,1,1,1,1,17.6,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,4000,4,NA,NA,1,NA,NA,96,2,96,2,96,2,1,1,180,2,1,NA,NA,NA,1000,5,2,1000,2,2,NA,NA,NA,NA,NA,716,NA,NA,551600,NA,1,1
66,"05015963000993958","05","63","00099","3958",2,1,716,1,12,36,36,2988000,28300000,3,1115020,25,1,99,1,1,1,1,1,30,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,36000,2,NA,NA,1,NA,NA,40,2,20,2,20,2,1,1,500,2,1,NA,NA,NA,1,4,4,1,5,3,NA,NA,NA,NA,NA,716,NA,NA,1115020,NA,1,1
67,"05016101080560013","05","01","08056","0013",1,1,716,1,1,0.05,0.05,3500,7000,3,277,25,100,NA,1,1,1,1,1,0.05,NA,NA,100,NA,NA,NA,NA,1,1,5,3,NA,NA,NA,NA,1,20,3,NA,NA,NA,NA,NA,NA,1,1,1,5,1,NA,NA,NA,3,5,3,6,5,3,NA,NA,NA,0,0,716,NA,NA,277,NA,1,86.9037601990156
68,"05016101080560018","05","01","08056","0018",1,1,716,2,1,0.4,0.4,30000,60000,3,2376,25,100,NA,1,1,1,1,1,0.4,NA,NA,NA,100,NA,NA,NA,1,1,30,3,NA,NA,NA,NA,1,30,3,NA,NA,NA,NA,NA,NA,1,1,8,5,1,12,5,2,12,5,2,12,5,4,NA,NA,NA,0,0,716,NA,NA,2376,NA,1,61.5123830176629
