"...1","Identificador","ual_prov","ual_estr","ual_segm","al_ncues","fp_numt","fp_numl","rc_clacul","fp_k704","fp_k705","fp_k706ha","fp_k707ha","fp_k708","fp_k709","fp_k710","fp_k711","fp_k712","fp_venmernac","fp_venmerint","fp_prepasuelo","fp_poda","fp_tutoreo","fp_despunte","fp_riego","fp_superf_regada_ha","fp_porc_surc","fp_porc_aspe","fp_porc_micr","fp_porc_gote","fp_porc_nebu","fp_porc_otro","fp_obsmetrie","fp_aferti","fp_forg","fp_cant1_fo","fp_umed1_fo","fp_cant2_fo","fp_umed2_fo","fp_cant3_fo","fp_umed3_fo","fp_fqui","fp_cantidad_npk_fq","fp_umed_npk_fq","fp_cantidad_nit_fq","fp_umed_nit_fq","fp_cantidad_fq","fp_umed_fq","fp_cantidad_pot_fq","fp_umed_pot_fq","fp_afito","fp_porg","fp_cantidad_po","fp_umedida_po","fp_pqui","fp_cantidad_her_pq","fp_umed_her_pq","fp_color_her_pq","fp_cantidad_ins_pq","fp_umed_ins_pq","fp_color_ins_pq","fp_cantidad_fun_pq","fp_umed_fun_pq","fp_color_fun_pq","fp_cantidad_pq","fp_umed_pq","fp_color_pq","fp_trabocacont","fp_trabfami","fp_clacu","fp_full_tabaco","fp_tabaco","fp_Bonche","fp_Bouquet","fp_tn","fact_exp_fin"
326,"17045401069180001","17","01","06918","0001",3,1,716,1,8,8.79,8.79,694000,7e+06,2,22082,317,10,90,1,1,1,1,1,8.79,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,175.8,3,NA,NA,1,79.11,4,NA,NA,NA,NA,NA,NA,1,1,1230,5,1,NA,NA,NA,1318.5,5,2,1758,5,2,966.9,5,2,NA,NA,716,NA,22082,NA,NA,1,0
327,"17045401072480001","17","01","07248","0001",1,1,716,1,20,1.62,1.62,129179,1461828,3,58473,25,NA,100,1,1,1,1,1,1.62,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,NA,NA,928,1,1,484.38,2,NA,NA,NA,NA,NA,NA,1,1,193,2,1,NA,NA,NA,162,2,4,NA,NA,NA,447,2,2,NA,NA,716,NA,NA,58473,NA,1,0
328,"17045401072480002","17","01","07248","0002",1,1,716,1,0,0.3,0.05,30000,100,3,4,25,100,NA,1,1,1,1,1,0.3,NA,NA,NA,100,NA,NA,NA,1,1,30,3,NA,NA,24,1,1,108.52,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,2,5,2,1,2,4,NA,NA,NA,1,1,716,NA,NA,4,NA,1,114.274577219898
329,"17045401072480003","17","01","07248","0003",1,1,716,1,1,0.2,0.2,6000,36000,3,1440,25,10,90,1,1,2,1,1,0.2,NA,NA,NA,NA,NA,100,"DUCHA METODO DE RIEGO",1,1,NA,NA,NA,NA,960,1,1,186.24,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,0.43,5,4,NA,NA,NA,0.5,5,2,2,NA,716,NA,NA,1440,NA,1,107.257256077882
330,"17045401072480004","17","01","07248","0004",1,1,716,1,8,8.79,8.79,694000,7e+06,2,22082,317,10,90,1,1,1,1,1,8.79,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,175.8,3,NA,NA,1,79.11,4,NA,NA,NA,NA,NA,NA,1,1,1230,5,1,NA,NA,NA,1318.5,5,2,1758,5,2,966.9,5,2,NA,NA,716,NA,22082,NA,NA,1,0
331,"17045401072480004","17","01","07248","0004",2,2,716,1,12,16.3,16.3,1219400,1.2e+07,2,37854,317,10,90,1,1,1,1,1,16.3,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,326,3,NA,NA,1,146.7,4,NA,NA,NA,NA,NA,NA,1,1,228,5,1,NA,NA,NA,2445,5,2,3560,5,2,1793,5,2,NA,NA,716,NA,37854,NA,NA,1,0
332,"17045401075870008","17","01","07587","0008",2,1,716,1,9,0.85,0.85,75000,1050000,3,42000,25,10,90,1,1,1,1,1,0.85,NA,NA,NA,100,NA,NA,NA,1,1,2400,3,NA,NA,NA,NA,1,4800,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,24,2,3,72,2,3,48,5,3,NA,NA,716,NA,NA,42000,NA,1,27.4372018117472
333,"17045401075870009","17","01","07587","0009",2,1,716,1,4,38,38,2557000,32850000,3,1116900,25,NA,100,1,1,1,1,1,38,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,10,4,NA,NA,1,NA,NA,11520,2,NA,NA,83376,2,1,2,NA,NA,1,NA,NA,NA,768,5,2,144,5,2,48,5,2,NA,NA,716,NA,NA,1116900,NA,1,0
334,"17045463000993498","17","63","00099","3498",1,1,716,1,15,1.3,1.3,97500,1072500,1,3396,300,5,95,1,1,1,1,1,1.3,NA,NA,NA,100,NA,NA,NA,1,1,0.6,4,0.46,4,3041,1,1,NA,NA,7134,2,456,2,2889,2,1,NA,61,5,1,9,5,3,40,5,2,152,5,3,79,5,2,NA,NA,716,3396,NA,NA,NA,1,1
335,"17045463000993498","17","63","00099","3498",2,2,716,1,8,3.7,3.7,277500,3127500,1,9904,300,5,95,1,1,1,1,1,3.7,NA,NA,NA,100,NA,NA,NA,1,1,1.7,4,1.3,4,8655,1,1,NA,NA,20305,2,1298,2,8222,2,1,NA,173,5,1,26,5,3,112,5,2,433,5,3,225,5,2,NA,NA,716,9904,NA,NA,NA,1,1
336,"17045463000993498","17","63","00099","3498",3,3,716,1,4,3,3,225000,2550000,1,8075,300,5,95,1,1,1,1,1,3,NA,NA,NA,100,NA,NA,NA,1,1,1.38,4,1,4,7018,1,1,NA,NA,16463,2,1053,2,6667,2,1,NA,140,5,1,21,5,3,91,5,2,351,5,3,182,5,2,NA,NA,716,8075,NA,NA,NA,1,1
337,"17045463000993501","17","63","00099","3501",1,1,716,1,8,8.79,8.79,694000,7e+06,2,22082,317,10,90,1,1,1,1,1,8.79,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,175.8,4,NA,NA,1,79.11,4,NA,NA,NA,NA,NA,NA,1,1,12306,5,1,NA,NA,NA,1318.5,5,2,1758,5,2,966.9,5,2,NA,NA,716,NA,22082,NA,NA,1,1
338,"17045463000993501","17","63","00099","3501",2,2,716,1,12,16.3,16.3,1219400,1.2e+07,2,37854,317,10,90,1,1,1,1,1,16.3,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,326,4,NA,NA,1,146.7,4,NA,NA,NA,NA,NA,NA,1,1,22820,5,1,NA,NA,NA,2445,5,2,3260,5,2,1793,5,2,NA,NA,716,NA,37854,NA,NA,1,1
339,"17045463000993501","17","63","00099","3501",3,3,716,1,13,14.72,14.72,1150000,1.1e+07,2,34700,317,10,90,1,1,1,1,1,14.72,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,294.4,4,NA,NA,1,132.48,4,NA,NA,NA,NA,NA,NA,1,1,20608,5,1,NA,NA,NA,2208,5,2,2944,5,2,1619,5,2,NA,NA,716,NA,34700,NA,NA,1,1
340,"17045463000993501","17","63","00099","3501",4,4,716,1,13,16.15,16.15,1270000,1.2e+07,2,37854,317,10,90,1,1,1,1,1,16.15,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,323,4,NA,NA,1,145.35,4,NA,NA,NA,NA,NA,NA,1,1,22610,5,1,NA,NA,NA,2422.5,5,2,3230,5,2,1776.5,5,2,NA,NA,716,NA,37854,NA,NA,1,1
341,"17045463000993501","17","63","00099","3501",5,5,716,1,3,5.37,5.37,428400,4500000,2,14195,317,10,90,1,1,1,1,1,5.37,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,107.4,4,NA,NA,1,48.33,4,NA,NA,NA,NA,NA,NA,1,1,7518,5,1,NA,NA,NA,805.5,5,2,1074,5,2,590.7,5,2,NA,NA,716,NA,14195,NA,NA,1,1
342,"17045463000993503","17","63","00099","3503",1,1,716,1,15,40.06,40.06,3199000,3.2e+07,1,112640,250,9,91,1,1,1,1,1,40.06,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,25869.95,2,NA,NA,1,NA,NA,22033,2,8132,2,20110,2,1,1,2243,2,1,NA,NA,NA,2123,5,4,8132,5,4,4847,5,4,NA,NA,716,112640,NA,NA,NA,1,1
343,"17045463000993508","17","63","00099","3508",1,1,716,1,8,38,38,2557000,32850000,3,1116900,25,0,100,1,1,1,1,1,38,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,10,4,NA,NA,1,NA,NA,11520,2,NA,NA,83376,2,1,2,NA,NA,1,NA,NA,NA,768,5,2,144,5,2,48,5,2,NA,NA,716,NA,NA,1116900,NA,1,1
344,"17045463000993532","17","63","00099","3532",1,1,716,1,10,4.39,4.39,258000,2838000,1,9649,250,NA,100,1,1,1,1,1,4.39,NA,NA,NA,100,NA,NA,NA,1,1,NA,NA,35055,2,NA,NA,1,NA,NA,17536,2,2303,2,3291,2,1,1,101,2,1,NA,NA,NA,27,5,3,1535,5,4,69,5,3,NA,NA,716,9649,NA,NA,NA,1,1
